year,quarter,brand,model,count
2023,3,TOYOTA,TOYOTA NOAH,20
2023,3,MCLAREN,MCLAREN 750S,20
2023,3,MORGAN,MORGAN PLUS 4,20
2023,3,AUDI,AUDI S4,19
2023,3,AUDI,AUDI S6,18
2023,3,SUBARU,SUBARU LEGACY,18
2023,3,HONDA,HONDA ACCORD,18
2023,3,AUSTIN HEALEY,AUSTIN HEALEY MODEL MISSING,18
2023,3,FERRARI,FERRARI PORTOFINO,18
2023,3,MERCEDES,MERCEDES 200,16
2023,3,TOYOTA,TOYOTA CROWN,16
2023,3,ASTON MARTIN,ASTON MARTIN DB1,16
2023,3,VOLVO,VOLVO V40,16
2023,3,SMART,SMART 1 PRO,15
2023,3,RENAULT TRUCKS,RENAULT TRUCKS MASTER,15
2023,3,ASTON MARTIN,ASTON MARTIN MODEL MISSING,15
2023,3,AUDI,AUDI RS7,15
2023,3,CHEVROLET GMC,CHEVROLET GMC CORVETTE,15
2023,3,CHRYSLER,CHRYSLER MODEL MISSING,15
2023,3,PEUGEOT,PEUGEOT ALLIED,14
2023,3,NISSAN,NISSAN SERENA,14
2023,3,FIAT,FIAT MODEL MISSING,14
2023,3,MCLAREN,MCLAREN MODEL MISSING,13
2023,3,MITSUBISHI,MITSUBISHI LANCER,13
2023,3,NISSAN,NISSAN SKYLINE,13
2023,3,ALFA ROMEO,ALFA ROMEO MODEL MISSING,12
2023,3,ASTON MARTIN,ASTON MARTIN DB11,12
2023,3,FERRARI,FERRARI MODEL MISSING,12
2023,3,JAGUAR,JAGUAR E TYPE,12
2023,3,JAGUAR,JAGUAR XK SERIES,12
2023,3,LAMBORGHINI,LAMBORGHINI MODEL MISSING,12
2023,3,NISSAN,NISSAN CUBE,12
2023,3,NISSAN,NISSAN SILVIA,12
2023,3,ROLLS ROYCE,ROLLS ROYCE PHANTOM,12
2023,3,MG,MG MODEL MISSING,11
2023,3,TOYOTA,TOYOTA HIACE,11
2023,3,VOLKSWAGEN,VOLKSWAGEN CALIFORNIA,11
2023,3,CADILLAC,CADILLAC MODEL MISSING,11
2023,3,FORD,FORD CORTINA,11
2023,3,MINI,MINI MODEL MISSING,11
2023,3,MCLAREN,MCLAREN ARTURA,11
2023,3,MERCEDES,MERCEDES EQV CLASS,10
2023,3,ROLLS ROYCE,ROLLS ROYCE,10
2023,3,SMART,SMART MODEL MISSING,10
2023,3,AUDI,AUDI S7,10
2023,3,CHEVROLET GMC,CHEVROLET GMC CAMARO,10
2023,3,MASERATI,MASERATI MC20,10
2023,3,VOLVO,VOLVO V50,10
2023,3,OPEL,OPEL MODEL MISSING,9
2023,3,AUSTIN,AUSTIN MINI,9
2023,3,AUSTIN,AUSTIN MODEL MISSING,9
2023,3,CHEVROLET GMC,CHEVROLET GMC MODEL MISSING,9
2023,3,JAGUAR,JAGUAR XJ SERIES,9
2023,3,JEEP,JEEP GRAND CHEROKEE,9
2023,3,LEXUS,LEXUS LC 500,9
2023,3,ROLLS ROYCE,ROLLS ROYCE MODEL MISSING,8
2023,3,PEUGEOT,PEUGEOT 309,8
2023,3,RENAULT TRUCKS,RENAULT TRUCKS TRAFIC,8
2023,3,LEXUS,LEXUS RC F,8
2023,3,MCLAREN,MCLAREN GT,8
2023,3,TOYOTA,TOYOTA FJ CRUISER,8
2023,3,FORD,FORD TRANSIT,7
2023,3,FIAT,FIAT DUCATO,7
2023,3,GENESIS,GENESIS G70,7
2023,3,LAND ROVER,LAND ROVER FREELANDER,7
2023,3,VOLKSWAGEN,VOLKSWAGEN CRAFTER,7
2023,3,GENESIS,GENESIS GV80,7
2023,3,LANCIA,LANCIA FULVIA,7
2023,3,MAZDA,MAZDA RX-7,7
2023,3,MERCEDES,MERCEDES 300,6
2023,3,VAUXHALL,VAUXHALL INSIGNIA,6
2023,3,ASTON MARTIN,ASTON MARTIN VALKYRIE,6
2023,3,LINCOLN,LINCOLN MODEL MISSING,6
2023,3,MASERATI,MASERATI GHIBLI,6
2023,3,ALFA ROMEO,ALFA ROMEO SPIDER,6
2023,3,ARIEL,ARIEL MODEL MISSING,6
2023,3,AUDI,AUDI S8,6
2023,3,BMW,BMW Z3,6
