year,quarter,brand,model,count
2026,2,PORSCHE,PORSCHE MODEL MISSING,43
2026,2,SUBARU,SUBARU IMPREZA,43
2026,2,FERRARI,FERRARI 12CILINDRI,43
2026,2,DS,DS NO 8,42
2026,2,MAZDA,MAZDA MAZDA 6E,42
2026,2,HONDA,HONDA ODYSSEY,42
2026,2,JEEP,JEEP MODEL MISSING,39
2026,2,VAUXHALL,VAUXHALL COMBO,38
2026,2,MERCEDES,MERCEDES SPRINTER,38
2026,2,CITROEN,CITROEN MODEL MISSING,37
2026,2,MAZDA,MAZDA CX-5,36
2026,2,VOLVO,VOLVO V70,35
2026,2,FERRARI,FERRARI 296,35
2026,2,KGM,KGM REXTON,34
2026,2,LEXUS,LEXUS MODEL MISSING,34
2026,2,GWM,GWM GWM HAVAL JOLION PRO A,34
2026,2,SUBARU,SUBARU LEGACY,34
2026,2,AUDI,AUDI SQ7,33
2026,2,MERCEDES-BENZ,MERCEDES-BENZ AMG E CLASS,33
2026,2,NISSAN,NISSAN NOTE,32
2026,2,PEUGEOT,PEUGEOT ALLIED,31
2026,2,JEEP,JEEP WRANGLER,31
2026,2,ALPINE,ALPINE A390,30
2026,2,MERCEDES,MERCEDES EQS CLASS,30
2026,2,VOLVO,VOLVO ES90,30
2026,2,RENAULT,RENAULT MASTER,29
2026,2,VAUXHALL,VAUXHALL MOVANO,29
2026,2,JAGUAR,JAGUAR MODEL MISSING,28
2026,2,AUDI,AUDI S4,28
2026,2,CHERY,CHERY MODEL MISSING,27
2026,2,MERCEDES-BENZ,MERCEDES-BENZ AMG GLC CLASS,27
2026,2,NISSAN,NISSAN SERENA,27
2026,2,LOTUS,LOTUS EMIRA,27
2026,2,MORGAN,MORGAN PLUS SIX AUTO,27
2026,2,KIA,KIA MODEL MISSING,26
2026,2,CHEVROLET,CHEVROLET CORVETTE,26
2026,2,TOYOTA,TOYOTA SIENTA,26
2026,2,FORD,FORD ESCORT,26
2026,2,BMW,BMW X5 M,25
2026,2,ALFA ROMEO,ALFA ROMEO STELVIO,25
2026,2,ABARTH,ABARTH 500,24
2026,2,AUDI,AUDI A8,24
2026,2,LEXUS,LEXUS LM,24
2026,2,FORD,FORD FIESTA,24
2026,2,LOTUS,LOTUS EMIRA V6,24
2026,2,BENTLEY,BENTLEY FLYING SPUR,24
2026,2,ASTON MARTIN,ASTON MARTIN VANQUISH,23
2026,2,FERRARI,FERRARI TESTAROSSA,22
2026,2,DODGE,DODGE MODEL MISSING,21
2026,2,MERCEDES,MERCEDES COLEMAN MILNE,21
2026,2,MINI,MINI CLUBMAN,20
2026,2,PEUGEOT,PEUGEOT 508,20
2026,2,MORGAN,MORGAN PLUS FOUR,20
2026,2,SKODA,SKODA MODEL MISSING,19
2026,2,VOLVO,VOLVO S60,19
2026,2,MCLAREN,MCLAREN 750S,19
2026,2,MERCEDES,MERCEDES 200,18
2026,2,MINI,MINI MODEL MISSING,18
