year,month,brand,model,count
2026,8,BYD,BYD SEALION 7,13
2026,8,PORSCHE,CAYENNE S,13
2026,8,FORD,TOURNEO CUSTOM,13
2026,8,PORSCHE,CAYENNE,13
2026,8,AUDI,Q6 SB E-TRON PERFORMANCE,13
2026,8,VOLKSWAGEN,ID.3 NEO 125KW,13
2026,8,AUDI,A6 SB E-TRON,13
2026,8,MERCEDES-BENZ,CLA 180,12
2026,8,MERCEDES-BENZ,A 180,12
2026,8,BMW,220,12
2026,8,AUDI,Q4 SB E-TRON QUATTRO PERF,12
2026,8,AUDI,A6 AV E-TRON PERFORMANCE,12
2026,8,AUDI,Q4 E-TRON,12
2026,8,CUPRA,BORN 150 KW 60/63 KWH,12
2026,8,ALFA ROMEO,TONALE,12
2026,8,KIA,SORENTO,12
2026,8,AUDI,Q5 SB 220KW TFSI E,12
2026,8,AUDI,Q6 SB E-TRON,11
2026,8,RENAULT,RAFALE,11
2026,8,LEXUS,LEXUS NX450H+,11
2026,8,BMW,I5 M60 XDRIVE,11
2026,8,MINI,JCW,11
2026,8,VOLKSWAGEN,ID.7 PRO,11
2026,8,MINI,COUNTRYMAN C,11
2026,8,CITROEN,E-C4,11
2026,8,AUDI,A3 SPORTBACK PHEV 200,11
2026,8,BMW,IX XDRIVE45,10
2026,8,HYUNDAI,IONIQ 9,10
2026,8,AUDI,A5 AVANT 270KW TFSI E,10
2026,8,AUDI,A3 LIMOUSINE,10
2026,8,MERCEDES-BENZ,CLA 250,10
2026,8,MITSUBISHI,ECLIPSE CROSS,10
2026,8,LAMBORGHINI,URUS,10
2026,8,VOLKSWAGEN,ID.BUZZ PRO KR 210 KW,10
2026,8,VOLKSWAGEN,ID.7 TOURER PURE,9
2026,8,PORSCHE,CAYENNE S E-HYBRID,9
2026,8,MERCEDES-BENZ,AMG GLE 53 HYBRID,9
2026,8,BMW,IX1 XDRIVE30,9
2026,8,VOLKSWAGEN,MULTIVAN,9
2026,8,AUDI,A6 AVANT 220KW TFSI E,9
2026,8,SEAT,SEAT ATECA,9
2026,8,SKODA,KAROQ,9
