year,month,brand,model,count
2025,4,HYMER,GRAND CANYON S 4X4,2
2025,4,CARTHAGO,C-TOURER T 143 LE,2
2025,4,MERCEDES-AMG,AMG SL 63 4MATIC+,2
2025,4,SUN LIVING,S-SERIES S 72DL,2
2025,4,BMW,330I XDRIVE,2
2025,4,VOLKSWAGEN,ID. BUZZ PURE KR 125 KW,2
2025,4,CARTHAGO,MALIBU VAN 640 LE RB GT,2
2025,4,ITINEO,ITINEO PJ700,2
2025,4,DETHLEFFS,GLOBEBUS CAMP T004,2
2025,4,MERCEDES-BENZ,AMG GLE 63 S 4MATIC+,2
2025,4,NIESMANN+BISCHOFF,ISMOVE 6.9E,2
2025,4,FORD,KUGA,1
2025,4,CITROEN,E-C3,1
2025,4,BMW,X1 XDRIVE25E,1
